timestamp,mq7,mq8,mq135,temperature,humidity
1677077201,4095.0,825.0,1509.0,26.2,34.0
1677077222,4095.0,831.0,1502.0,26.2,34.0
1677077242,4095.0,825.0,1514.0,26.2,34.0
1677077262,4095.0,822.0,1520.0,26.2,34.0
1677077285,4095.0,828.0,1520.0,26.2,34.0
1677077305,4095.0,832.0,1503.0,26.2,34.0
1677077325,4095.0,825.0,1534.0,26.2,34.0
1677077346,4095.0,770.0,1440.0,26.2,34.0
1677077366,4095.0,840.0,1510.0,26.2,34.0
1677077388,4095.0,823.0,1535.0,26.2,34.0
1677077408,4095.0,765.0,1484.0,26.2,34.0
1677077430,4095.0,838.0,1494.0,26.2,34.0
1677077450,4095.0,834.0,1483.0,26.2,34.0
1677077471,4095.0,837.0,1488.0,26.2,34.0
1677077491,4095.0,838.0,1494.0,26.2,34.0
1677077511,4095.0,848.0,1488.0,26.2,34.0
1677077532,4095.0,843.0,1485.0,26.2,34.0
1677077552,4095.0,841.0,1485.0,26.2,34.0
1677077573,4095.0,838.0,1482.0,26.2,34.0
1677077594,4095.0,838.0,1490.0,26.2,34.0
1677077614,4095.0,843.0,1489.0,26.2,34.0
1677077635,4095.0,837.0,1494.0,26.2,34.0
1677077655,4095.0,835.0,1498.0,26.2,34.0
1677077675,4095.0,842.0,1483.0,26.2,34.0
1677077695,4095.0,849.0,1492.0,26.2,34.0
1677077716,4095.0,838.0,1485.0,26.2,34.0
1677077736,4095.0,849.0,1493.0,26.2,34.0
1677077760,4095.0,839.0,1488.0,26.3,34.0
1677077780,4095.0,847.0,1482.0,26.2,34.0
1677077801,4095.0,847.0,1498.0,26.2,34.0
1677077821,4095.0,838.0,1503.0,26.2,34.0
1677077842,4095.0,847.0,1504.0,26.3,34.0
1677077862,4095.0,848.0,1500.0,26.2,34.0
1677077882,4095.0,842.0,1503.0,26.2,34.0
1677077902,4095.0,843.0,1510.0,26.2,34.0
1677077923,951.0,853.0,1511.0,26.2,34.0
1677077944,943.0,857.0,1507.0,26.2,34.0
1677077965,949.0,848.0,1523.0,26.2,34.0
1677077985,956.0,848.0,1509.0,26.2,34.0
1677078007,957.0,854.0,1510.0,26.2,34.0
1677078027,948.0,861.0,1527.0,26.2,34.0
1677078047,944.0,850.0,1521.0,26.4,34.0
1677078067,944.0,848.0,1519.0,26.6,34.0
1677078088,956.0,861.0,1516.0,26.7,34.0
1677078108,950.0,855.0,1526.0,26.7,34.0
1677078130,953.0,874.0,1520.0,26.5,34.0
1677078150,976.0,848.0,1525.0,26.7,34.0
1677078171,935.0,833.0,1498.0,26.7,34.0
1677078191,965.0,848.0,1531.0,26.5,34.0
1677078211,954.0,857.0,1530.0,26.2,34.0
1677078232,958.0,854.0,1518.0,26.2,34.0
1677078252,951.0,853.0,1548.0,26.2,34.0
1677078272,935.0,853.0,1552.0,26.3,35.0
1677078292,944.0,784.0,1456.0,26.2,35.0
1677078314,958.0,857.0,1567.0,26.3,35.0
1677078335,954.0,857.0,1562.0,26.5,35.0
1677078355,967.0,851.0,1552.0,26.7,35.0
1677078375,955.0,866.0,1563.0,26.7,35.0
1677078395,947.0,854.0,1581.0,26.7,34.0
1677078416,960.0,847.0,1557.0,26.7,34.0
1677078436,954.0,850.0,1568.0,26.7,35.0
1677078456,945.0,852.0,1567.0,26.7,35.0
1677078476,963.0,857.0,1559.0,26.7,35.0
1677078499,955.0,861.0,1547.0,26.3,35.0
1677078519,965.0,861.0,1517.0,26.2,35.0
1677078539,960.0,794.0,1519.0,26.2,35.0
1677078559,957.0,857.0,1526.0,26.2,35.0
1677078580,949.0,858.0,1513.0,26.2,35.0
1677078600,974.0,853.0,1521.0,26.2,35.0
1677078620,948.0,851.0,1527.0,26.2,35.0
1677078641,1013.0,996.0,1552.0,26.2,35.0
1677078661,4095.0,1714.0,1490.0,26.2,35.0
1677078683,4095.0,1802.0,1584.0,26.2,35.0
1677078703,4095.0,1801.0,1575.0,26.2,35.0
1677078723,4095.0,1795.0,1581.0,26.2,35.0
1677078744,4095.0,1790.0,1583.0,26.2,35.0
1677078765,4095.0,1805.0,1589.0,26.2,35.0
1677078786,4095.0,1792.0,1590.0,26.2,35.0
1677078806,4095.0,1787.0,1589.0,26.2,35.0
1677078827,4095.0,1799.0,1598.0,26.2,35.0
1677078847,4095.0,1787.0,1598.0,26.2,35.0
1677078869,4095.0,1791.0,1601.0,26.2,35.0
1677078890,4095.0,1663.0,1506.0,26.2,35.0
1677078910,4095.0,1792.0,1615.0,26.2,35.0
1677078930,4095.0,1773.0,1631.0,26.7,35.0
1677078950,4095.0,1778.0,1622.0,26.7,35.0
1677078971,4095.0,1648.0,1603.0,26.7,35.0
1677078993,4095.0,1766.0,1600.0,26.7,35.0
1677079013,4095.0,1766.0,1597.0,26.7,35.0
1677079034,4095.0,1775.0,1785.0,26.7,35.0
1677079055,4095.0,1767.0,1770.0,26.7,35.0
1677079077,4095.0,1765.0,1766.0,26.2,35.0
1677079098,4095.0,1643.0,1623.0,26.2,35.0
1677079119,4095.0,1771.0,1778.0,26.2,35.0
1677079140,4095.0,1763.0,1766.0,26.2,35.0
1677079160,4095.0,1626.0,1616.0,26.2,35.0
1677079180,4095.0,1756.0,1735.0,26.2,35.0
1677079200,4095.0,1642.0,1603.0,26.2,35.0
1677079221,4095.0,1762.0,1729.0,26.2,35.0
1677079243,4095.0,1771.0,1737.0,26.2,35.0
1677079263,4095.0,1771.0,1722.0,26.2,35.0
1677079283,4095.0,1775.0,1714.0,26.7,35.0
1677079304,4095.0,1766.0,1749.0,26.5,35.0
1677079324,4095.0,1754.0,1747.0,26.7,35.0
1677079344,4095.0,1769.0,1760.0,26.7,35.0
1677079365,4095.0,1778.0,1758.0,26.7,35.0
1677079385,4095.0,1759.0,1755.0,26.7,35.0
1677079405,4095.0,1760.0,1745.0,26.7,35.0
1677079427,4095.0,1755.0,1787.0,26.7,35.0
1677079447,4095.0,1755.0,1739.0,26.7,35.0
1677079468,4095.0,1770.0,1746.0,26.7,35.0
1677079488,4095.0,1770.0,1762.0,26.7,35.0
1677079508,4095.0,1770.0,1739.0,26.4,35.0
1677079529,4095.0,1635.0,1599.0,26.7,35.0
1677079549,4095.0,1766.0,1744.0,26.7,35.0
1677079569,4095.0,1759.0,1746.0,26.7,35.0
1677079591,4095.0,1761.0,1776.0,26.7,35.0
1677079613,4095.0,1755.0,1771.0,26.7,35.0
1677079633,4095.0,1617.0,1626.0,26.7,35.0
1677079655,4095.0,1553.0,1755.0,26.7,35.0
1677079675,4095.0,1555.0,1775.0,26.7,35.0
1677079695,4095.0,1518.0,1787.0,26.7,35.0
1677079717,4095.0,1331.0,1783.0,26.7,35.0
1677079739,4095.0,1447.0,1773.0,26.7,35.0
1677079759,4095.0,1368.0,1803.0,26.7,35.0
1677079780,4095.0,1228.0,1792.0,26.7,35.0
1677079802,4095.0,1343.0,1778.0,26.7,35.0
1677079822,4095.0,1323.0,1794.0,26.7,35.0
1677079844,4095.0,1302.0,1779.0,26.7,35.0
1677079865,4095.0,1311.0,1792.0,26.7,35.0
1677079885,4095.0,1265.0,1814.0,26.7,35.0
1677079905,4095.0,1280.0,1813.0,26.7,35.0
1677079925,4095.0,1122.0,1667.0,26.7,35.0
1677079947,4095.0,1277.0,1840.0,26.7,35.0
1677079967,4095.0,1232.0,1833.0,26.7,35.0
1677079989,4095.0,1251.0,1815.0,26.7,35.0
1677080010,4095.0,1218.0,1808.0,26.7,35.0
1677080030,4095.0,1230.0,1820.0,26.7,35.0
1677080050,4095.0,1105.0,1662.0,26.7,35.0
1677080072,4095.0,1246.0,1810.0,26.7,35.0
1677080092,4095.0,1264.0,1859.0,26.7,35.0
1677080113,4095.0,1264.0,1851.0,26.7,35.0
1677080133,4095.0,1218.0,1835.0,26.7,35.0
1677080153,4095.0,1198.0,1821.0,26.7,35.0
1677080177,4095.0,1177.0,1825.0,26.7,35.0
1677080197,4095.0,1068.0,1682.0,26.7,35.0
1677080219,4095.0,1163.0,1805.0,26.7,35.0
1677080239,4095.0,1154.0,1660.0,26.7,35.0
1677080261,4095.0,1179.0,1808.0,26.7,35.0
1677080281,4095.0,1169.0,1805.0,26.7,35.0
1677080301,4095.0,1045.0,1802.0,26.2,35.0
1677080321,4095.0,1165.0,1827.0,26.2,35.0
1677080342,4095.0,1173.0,1814.0,26.2,35.0
1677080365,4095.0,1164.0,1800.0,26.2,35.0
1677080385,4095.0,1166.0,1777.0,26.2,35.0
1677080406,4095.0,1165.0,1779.0,26.2,35.0
1677080426,4095.0,1150.0,1789.0,26.2,35.0
1677080446,4095.0,1157.0,1801.0,26.2,35.0
1677080467,4095.0,1039.0,1663.0,26.2,35.0
1677080491,4095.0,1154.0,1568.0,26.7,35.0
1677080513,4095.0,1166.0,1555.0,26.7,35.0
1677080533,4095.0,899.0,1558.0,26.7,35.0
1677080555,4095.0,904.0,1535.0,26.7,35.0
1677080575,4095.0,848.0,1446.0,26.7,35.0
1677080597,4095.0,905.0,1556.0,26.7,35.0
1677080617,4095.0,944.0,1552.0,26.7,35.0
1677080639,4095.0,899.0,1535.0,26.7,35.0
1677080659,4095.0,849.0,1462.0,26.7,35.0
1677080679,4095.0,905.0,1553.0,26.7,35.0
1677080701,4095.0,899.0,1559.0,26.7,35.0
1677080722,4095.0,908.0,1572.0,26.7,35.0
1677080742,4095.0,903.0,1605.0,26.7,35.0
1677080762,4095.0,899.0,1532.0,26.7,35.0
1677080783,4095.0,855.0,1462.0,26.7,35.0
1677080804,4095.0,898.0,1493.0,26.7,35.0
1677080824,4095.0,900.0,1491.0,26.7,35.0
1677080845,4095.0,911.0,1490.0,26.7,35.0
1677080865,4095.0,909.0,1488.0,26.7,35.0
1677080887,4095.0,901.0,1511.0,26.7,35.0
1677080907,4095.0,845.0,1483.0,26.7,35.0
1677080929,4095.0,843.0,1456.0,26.7,35.0
1677080950,4095.0,906.0,1543.0,26.7,35.0
1677080970,4095.0,911.0,1535.0,26.7,35.0
1677080991,4095.0,903.0,1502.0,26.7,35.0
1677081011,4095.0,837.0,1441.0,26.7,35.0
1677081031,4095.0,906.0,1523.0,26.7,35.0
1677081052,4095.0,905.0,1504.0,26.7,35.0
1677081074,4095.0,896.0,1493.0,26.7,35.0
1677081094,4095.0,911.0,1517.0,26.7,34.0
1677081116,4095.0,903.0,1521.0,26.9,34.0
1677081136,4095.0,912.0,1506.0,27.1,34.0
1677081156,4095.0,899.0,1513.0,26.7,34.0
1677081176,4095.0,905.0,1520.0,26.7,34.0
1677081197,4095.0,895.0,1483.0,26.7,34.0
1677081217,4095.0,899.0,1504.0,26.7,34.0
1677081237,4095.0,903.0,1519.0,26.7,34.0
1677081259,4095.0,899.0,1511.0,26.7,35.0
1677081280,4095.0,912.0,1506.0,26.7,35.0
1677081300,4095.0,899.0,1505.0,26.7,35.0
1677081321,4095.0,902.0,1503.0,26.7,35.0
1677081344,4095.0,903.0,1493.0,26.7,35.0
1677081365,4095.0,896.0,1495.0,26.7,35.0
1677081385,4095.0,906.0,1498.0,26.7,34.0
1677081405,4095.0,903.0,1488.0,26.7,34.0
1677081426,4095.0,850.0,1477.0,26.7,34.0
1677081448,4095.0,902.0,1495.0,26.7,35.0
1677081468,4095.0,906.0,1491.0,26.7,35.0
1677081488,4095.0,848.0,1395.0,26.7,34.0
1677081510,4095.0,905.0,1488.0,26.7,35.0
1677081530,4095.0,899.0,1475.0,26.7,35.0
1677081552,4095.0,927.0,1518.0,26.7,35.0
1677081572,4095.0,911.0,1493.0,26.7,35.0
